Orange results for level3
level3_2, 126, 27, 81, 138, 23, 83, 108184
level3_9, 173, 9, 93, 256, 121, 256, 86017
level3_12, 153, 22, 84, 256, 152, 256, 94252
level3_16, 146, 15, 59, 155, 30, 113, 72851
level3_18, 131, 5, 57, 130, 48, 96, 92851
level3_29, 146, 5, 45, 94, 45, 95, 93516
level3_35, 163, 7, 100, 251, 82, 145, 79425
level3_36, 174, 9, 82, 189, 85, 211, 84573
level3_37, 175, 6, 143, 256, 150, 256, 90442
level3_39, 175, 11, 108, 256, 126, 256, 89170
level3_41, 175, 11, 108, 256, 126, 256, 90744
Green results for level3
level3_2, 37, 64, 46, 82, 45, 80, 108184
level3_9, 0, 96, 0, 71, 248, 256, 86017
level3_12, 30, 96, 25, 148, 242, 256, 94252
level3_16, 41, 61, 42, 99, 80, 146, 72851
level3_18, 49, 71, 42, 118, 63, 256, 92851
level3_29, 38, 69, 42, 91, 47, 131, 93516
level3_35, 54, 64, 60, 91, 61, 122, 79425
level3_36, 39, 57, 83, 128, 111, 256, 84573
level3_37, 0, 205, 0, 7, 249, 256, 90442
level3_39, 0, 205, 0, 7, 249, 256, 89170
level3_41, 0, 205, 0, 7, 249, 256, 90744
Blue results for level3
level3_2, 102, 137, 36, 101, 45, 83, 108184
level3_9, 0, 0, 36, 101, 45, 83, 86017
level3_12, 0, 0, 36, 101, 45, 83, 94252
level3_16, 108, 121, 90, 133, 69, 137, 72851
level3_18, 0, 0, 90, 133, 69, 137, 92851
level3_29, 0, 0, 90, 133, 69, 137, 93516
level3_35, 0, 0, 90, 133, 69, 137, 79425
level3_36, 82, 124, 55, 158, 216, 256, 84573
level3_37, 0, 0, 55, 158, 216, 256, 90442
level3_39, 82, 115, 7, 197, 255, 256, 89170
level3_41, 0, 0, 7, 197, 255, 256, 90744
