Orange results for level2,,,,,,,
level2_0,149,13,73,161,44,104,123358
level2_1,149,13,73,161,44,104,123358
level2_6,148,10,52,191,183,256,94111
level2_7,172,17,115,200,58,256,94578
level2_25,172,17,115,200,58,256,74126
level2_26,172,17,115,200,58,256,78523
level2_34,172,17,115,200,58,256,98946
Green results for level2,,,,,,,
level2_0,38,57,45,85,59,90,123358
level2_1,38,57,45,85,59,90,123358
level2_6,0,1,0,2,251,256,94111
level2_7,135,162,6,14,246,256,94578
level2_25,0,0,0,0,0,0,74126
level_226,36,101,0,133,193,256,78523
level2_34,43,69,64,125,127,256,98946
Blue results for level2,,,,,,,
level2_0,114,127,40,77,57,80,123358
level2_1,114,127,40,77,57,80,123358
level2_6,87,120,134,180,149,256,94111
level2_7,0,0,0,0,0,0,94578
level2_25,77,116,89,143,240,256,74126
level2_26,0,0,0,0,0,0,78523
level2_34,0,0,0,0,0,0,98946
