level3_16,108,121,90,133,69,137,72851,7316
level1_28,83,119,92,215,94,256,73885,8350
level2_25,77,116,89,143,240,256,74126,8591
level1_11,23,125,74,176,212,256,78455,12920
level2_26,0,0,0,0,0,0,78523,12988
level3_35,0,0,90,133,69,137,79425,13890
level1_14,0,0,74,176,212,256,80449,14914
level3_36,82,124,55,158,216,256,84573,19038
level1_3,0,0,70,175,75,256,150363,19293
level3_9,0,0,36,101,45,83,86017,20482
level3_39,82,115,7,197,255,256,89170,23635
level1_8,75,154,101,230,135,256,89312,23777
level3_37,0,0,55,158,216,256,90442,24907
level3_41,0,0,7,197,255,256,90744,25209
level3_18,0,0,90,133,69,137,92851,27316
level3_29,0,0,90,133,69,137,93516,27981
level2_6,87,120,134,180,149,256,94111,28576
level3_12,0,0,36,101,45,83,94252,28717
level2_7,0,0,0,0,0,0,94578,29043
level2_34,0,0,0,0,0,0,98946,33411
level1_5,81,120,72,169,135,256,101574,36039
level1_4,0,0,70,175,75,256,103832,38297
level0_10,105,121,70,183,132,256,39696,39696
level3_2,102,137,36,101,45,83,108184,42649
level0_8,0,0,60,190,160,256,43309,43309
level0_6,102,127,60,190,160,256,43776,43776
level0_7,0,0,60,190,160,256,43856,43856
level0_9,0,0,60,190,160,256,44073,44073
level0_5,0,0,0,256,0,256,44185,44185
level0_4,0,0,0,256,0,256,44274,44274
level0_3,0,0,0,256,0,256,44308,44308
level0_2,0,0,0,256,0,256,44745,44745
level0_13,100,119,92,164,86,256,50745,50745
level0_12,100,119,92,164,86,256,50812,50812
level0_16,0,0,92,164,86,256,120321,54786
level2_0,114,127,40,77,57,80,123358,57823
