Orange results for level1
level1_3, 167, 20, 120, 179, 78, 226, 150363
level1_4, 162, 6, 89, 192, 76, 256, 103832
level1_5, 159, 7, 93, 214, 148, 256, 101574
level1_8, 140, 7, 74, 212, 178, 256, 89312
level1_11, 172, 19, 118, 224, 187, 256, 78455
level1_14, 146, 19, 126, 212, 93, 256, 80449
level1_28, 158, 11, 87, 204, 54, 256, 73885
Green results for level1
level1_3, 38, 61, 68, 141, 84, 233, 150363
level1_4, 37, 64, 48, 141, 119, 256, 103832
level1_5, 30, 65, 46, 156, 126, 256, 101574
level1_8, 40, 70, 0, 161, 187, 256, 89312
level1_11, 0, 0, 0, 161, 187, 256, 78455
level1_14, 0, 0, 0, 161, 187, 256, 80449
level1_28, 30, 72, 70, 175, 75, 256, 73885
Blue results for level1
level1_3, 0, 0, 70, 175, 75, 256, 150363
level1_4, 0, 0, 70, 175, 75, 256, 103832
level1_5, 81, 120, 72, 169, 135, 256, 101574
level1_8, 75, 154, 101, 230, 135, 256, 89312
level1_11, 23, 125, 74, 176, 212, 256, 78455
level1_14, 0, 0, 74, 176, 212, 256, 80449
level1_28, 83, 119, 92, 215, 94, 256, 73885
